# Метеостанция Берлин / Темпельхоф, Германия, WMO_ID=10384, выборка с 01.01.2012 по 30.07.2012, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=10384&lang=ru
#
"Местное время в Берлине / Темпельхофе";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.07.2012 23:00";"16.9";"758.8";"763.1";"";"57";"Ветер, дующий с западо-северо-запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.4";"";"";"";"";"";"";
"30.07.2012 20:00";"20.3";"757.9";"762.2";"";"43";"Ветер, дующий с западо-юго-запада";"3";"";"";"";" ";"";"";"15.5";"22.6";"";"";"";"";"";"";"7.4";"Следы осадков";"12";"";"";"";"";
"30.07.2012 17:00";"21.9";"757.2";"761.5";"";"45";"Ветер, дующий с юго-запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.6";"";"";"";"";"";"";
"30.07.2012 14:00";"21.4";"757.5";"761.8";"";"44";"Ветер, дующий с юго-запада";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.7";"Осадков нет";"6";"";"";"";"";
"30.07.2012 11:00";"20.1";"758.1";"762.4";"";"57";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"14.4";"";"";"";"";"";"";"";"11.2";"";"";"";"";"";"";
"30.07.2012 08:00";"15.6";"758.2";"762.5";"";"80";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"14.4";"20.3";"";"";"";"";"";"";"12.1";"Осадков нет";"12";"";"";"";"";
"30.07.2012 05:00";"14.5";"757.3";"761.7";"";"82";"Ветер, дующий с юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.4";"";"";"";"";"";"";
"30.07.2012 02:00";"16.2";"756.8";"761.2";"";"79";"Ветер, дующий с запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.5";"Осадков нет";"6";"";"";"";"";
"29.07.2012 23:00";"17.8";"755.7";"760.0";"";"73";"Ветер, дующий с западо-юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.0";"";"";"";"";"";"";
"29.07.2012 20:00";"20.3";"754.6";"758.8";"";"75";"Ветер, дующий с западо-северо-запада";"3";"";"";"";" ";"";"";"17.1";"20.9";"";"";"";"";"";"";"15.7";"12.0";"12";"";"";"";"";
"29.07.2012 17:00";"18.7";"753.6";"757.9";"";"90";"Ветер, дующий с западо-северо-запада";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.0";"";"";"";"";"";"";
"29.07.2012 14:00";"20.0";"752.4";"756.7";"";"84";"Ветер, дующий с западо-юго-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.3";"8.0";"6";"";"";"";"";
"29.07.2012 11:00";"18.4";"752.1";"756.4";"";"92";"Ветер, дующий с северо-северо-востока";"2";"";"";"";" ";"";"";"17.1";"";"";"";"";"";"";"";"17.1";"";"";"";"";"";"";
