# Метеостанция Нур-Султан, Казахстан, WMO_ID=35188, выборка с 01.01.2015 по 31.12.2015, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=35188&lang=ru
#
"Местное время в Нур-Султане";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.12.2015 09:00";"-7.3";"734.6";"768.1";"0.3";"71";"Ветер, дующий с юга";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Снег и/или другие виды твердых осадков";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"4.0";"-11.7";"0.3";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"13.0";
"30.12.2015 06:00";"-7.3";"734.3";"767.8";"0.3";"76";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"";"-10.8";"";"";"";"";"";"";
"30.12.2015 03:00";"-7.2";"734.0";"767.5";"1.0";"83";"Ветер, дующий с юга";"3";"";"16";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"600-1000";"";"";"";"-9.6";"";"";"";"";"";"";
"30.12.2015 00:00";"-6.4";"733.0";"766.4";"2.3";"85";"Ветер, дующий с юго-юго-запада";"10";"16";"19";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Ливень (ливни).";"Снег и/или другие виды твердых осадков";"";"-4.9";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"";"-8.5";"4.0";"12";"";"";"";"";
"29.12.2015 21:00";"-5.3";"730.7";"763.8";"2.3";"87";"Ветер, дующий с запада";"9";"15";"17";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Ливень (ливни).";"Снег и/или другие виды твердых осадков";"";"-4.9";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"";"-7.1";"4.0";"12";"";"";"";"";
"29.12.2015 18:00";"-6.6";"728.4";"761.5";"4.4";"87";"Ветер, дующий с запада";"7";"";"22";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Метель";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"";"-8.5";"";"";"";"";"";"";
"29.12.2015 15:00";"-5.6";"724.0";"756.9";"3.0";"87";"Ветер, дующий с запада";"15";"21";"25";"100%.";"Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ";"Ливень (ливни).";"Метель";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"0.2";"-7.4";"";"";"";"";"";"";
"29.12.2015 12:00";"-5.0";"721.0";"753.7";"2.7";"87";"Ветер, дующий с западо-юго-запада";"9";"19";"21";"100%.";"Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ";"Ливень (ливни).";"Метель";"-7.2";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"0.2";"-6.8";"3.0";"12";"";"";"";"";
"29.12.2015 09:00";"-7.1";"718.3";"751.0";"2.7";"86";"Ветер, дующий с запада";"9";"16";"23";"100%.";"Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ";"Ливень (ливни).";"Метель";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"0.2";"-9.0";"3.0";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"14.0";
"29.12.2015 06:00";"-4.6";"715.6";"748.0";"-3.9";"90";"Ветер, дующий с юго-юго-запада";"8";"18";"21";"100%.";"Сильная снежная низовая метель в целом высокая (выше уровня глаз наблюдателя). ";"Ливень (ливни).";"Метель";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"200-300";"";"";"";"-6.0";"";"";"";"";"";"";
