# Метеостанция Нур-Султан, Казахстан, WMO_ID=35188, выборка с 01.01.2011 по 30.07.2011, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=35188&lang=ru
#
"Местное время в Нур-Султане";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.07.2011 21:00";"23.9";"722.0";"751.2";"";"61";"Ветер, дующий с северо-северо-запада";"2";"";"";"20–30%.";" ";"";"";"";"28.0";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"16.0";"";"";"";"";"";"";
"30.07.2011 18:00";"27.5";"721.6";"750.5";"";"46";"Ветер, дующий с западо-северо-запада";"3";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"14.8";"";"";"";"";"";"";
"30.07.2011 15:00";"26.9";"722.2";"751.1";"";"47";"Ветер, дующий с запада";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"20–30%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"14.8";"";"";"";"";"";"";
"30.07.2011 12:00";"26.3";"722.3";"751.4";"";"58";"Ветер, дующий с западо-северо-запада";"3";"";"";"70 – 80%.";" ";"";"";"18.4";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"17.3";"";"";"";"";"";"";
"30.07.2011 09:00";"23.1";"722.6";"751.9";"";"66";"Ветер, дующий с юга";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"16.5";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"";"";"";
"30.07.2011 06:00";"19.1";"722.8";"752.7";"";"66";"Ветер, дующий с запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"12.6";"";"";"";"";"";"";
"30.07.2011 03:00";"19.1";"723.9";"753.8";"";"68";"Ветер, дующий с северо-северо-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"";"13.0";"";"";"";"";"";"";
"30.07.2011 00:00";"22.5";"724.1";"753.7";"";"51";"Ветер, дующий с юго-востока";"3";"";"";"Облаков нет.";" ";"";"";"";"27.5";"";"";"";"";"";"";"12.0";"";"";"";"";"";"";
"29.07.2011 21:00";"25.9";"724.6";"753.8";"";"49";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";" ";"";"";"";"27.5";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"600-1000";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"20.0";"14.5";"";"";"";"";"";"";
"29.07.2011 18:00";"26.9";"725.6";"754.8";"";"44";"Ветер, дующий с юго-юго-востока";"3";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"600-1000";"Высококучевые башенкообразные или хлопьевидные.";"Перистые плотные, образовавшиеся от кучево-дождевых.";"20.0";"13.8";"";"";"";"";"";"";
"29.07.2011 15:00";"26.8";"726.6";"755.8";"";"47";"Ветер, дующий с юга";"4";"";"";"50%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"20–30%.";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"14.5";"";"";"";"";"";"";
"29.07.2011 12:00";"24.1";"728.1";"757.6";"";"47";"Ветер, дующий с юго-востока";"4";"";"";"20–30%.";" ";"";"";"18.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"12.2";"";"";"";"";"";"";
"29.07.2011 09:00";"19.4";"728.6";"758.7";"";"52";"Ветер, дующий с востоко-юго-востока";"4";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"9.3";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"";"";"";
"29.07.2011 06:00";"18.2";"728.6";"758.8";"";"56";"Ветер, дующий с юго-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"20.0";"9.4";"";"";"";"";"";"";
"29.07.2011 03:00";"18.3";"728.5";"758.6";"";"82";"Ветер, дующий с северо-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"15.1";"";"";"";"";"";"";
"29.07.2011 00:00";"20.3";"728.4";"758.2";"";"78";"Ветер, дующий с северо-востока";"3";"";"";"Облаков нет.";" ";"";"";"";"29.7";"";"";"";"";"";"";"16.4";"";"";"";"";"";"";
"28.07.2011 21:00";"22.6";"728.1";"757.7";"";"71";"Ветер, дующий с северо-северо-востока";"1";"";"";"40%.";" ";"";"";"";"29.7";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"17.0";"";"";"";"";"";"";
"28.07.2011 18:00";"27.7";"728.0";"757.0";"";"48";"Ветер, дующий с северо-северо-запада";"3";"";"";"70 – 80%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Гроза (грозы) с осадками или без них.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"20–30%.";"1000-1500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"15.6";"";"";"";"";"";"";
"28.07.2011 15:00";"29.3";"727.9";"756.9";"";"39";"Ветер, дующий с западо-юго-запада";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"50%.";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"14.0";"";"";"";"";"";"";
"28.07.2011 12:00";"26.8";"729.2";"758.5";"";"56";"Ветер, дующий с западо-северо-запада";"2";"";"";"90  или более, но не 100%";"Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"17.4";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые башенкообразные или хлопьевидные.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"17.2";"";"";"";"";"";"";
"28.07.2011 09:00";"23.4";"729.8";"759.4";"";"66";"Ветер, дующий с западо-северо-запада";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Высококучевые башенкообразные или хлопьевидные.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"20.0";"16.8";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"";"";"";
"28.07.2011 06:00";"17.9";"730.0";"760.3";"";"83";"Ветер, дующий с юго-востока";"1";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"15.0";"";"";"";"";"";"";
"28.07.2011 03:00";"19.4";"730.6";"760.6";"";"79";"Ветер, дующий с юго-запада";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"15.7";"";"";"";"";"";"";
"28.07.2011 00:00";"21.4";"732.0";"761.9";"";"70";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"30.8";"";"";"";"";"";"";"15.6";"";"";"";"";"";"";
"27.07.2011 18:00";"29.3";"733.1";"762.4";"";"35";"Ветер, дующий с северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"12.2";"";"";"";"";"";"";
"27.07.2011 15:00";"28.6";"734.4";"763.7";"";"37";"Ветер, дующий с западо-юго-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"12.6";"";"";"";"";"";"";
"27.07.2011 12:00";"26.7";"735.5";"765.1";"";"42";"Ветер, дующий с юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"16.7";"";"";"";"";"";"";"20.0";"12.6";"";"";"";"";"";"";
"27.07.2011 09:00";"22.6";"736.0";"766.0";"";"57";"Ветер, дующий с севера";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"13.7";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"";"";"";
"27.07.2011 06:00";"16.8";"736.2";"766.8";"";"81";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"13.6";"";"";"";"";"";"";
"27.07.2011 03:00";"18.5";"735.8";"766.1";"";"78";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"14.6";"";"";"";"";"";"";
