# Метеостанция Нур-Султан, Казахстан, WMO_ID=35188, выборка с 01.01.2013 по 31.12.2013, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=35188&lang=ru
#
"Местное время в Нур-Султане";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2013 21:00";"-11.6";"738.1";"772.4";"0.0";"80";"Ветер, дующий с юга";"4";"";"";"40%.";" ";"";"";"";"-9.8";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"40%.";"200-300";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"-14.4";"";"";"";"";"";"";
"31.12.2013 18:00";"-11.0";"738.1";"772.3";"-0.6";"74";"Ветер, дующий с юга";"4";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-14.7";"";"";"";"";"";"";
"31.12.2013 15:00";"-10.0";"738.7";"772.7";"-1.2";"67";"Ветер, дующий с юго-юго-запада";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-15.0";"";"";"";"";"";"";
"31.12.2013 12:00";"-12.0";"739.9";"774.4";"-0.6";"76";"Ветер, дующий с юго-юго-запада";"4";"";"";"70 – 80%.";" ";"";"";"-14.6";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"600-1000";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-15.4";"";"";"";"";"";"";
"31.12.2013 09:00";"-14.2";"740.5";"775.2";"-0.2";"82";"Ветер, дующий с юго-юго-запада";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-16.6";"";"";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"18.0";
"31.12.2013 06:00";"-14.5";"740.7";"775.5";"-0.4";"84";"Ветер, дующий с юга";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-16.7";"";"";"";"";"";"";
"31.12.2013 03:00";"-13.2";"741.1";"775.7";"-0.9";"84";"Ветер, дующий с юга";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-15.3";"";"";"";"";"";"";
"31.12.2013 00:00";"-12.6";"742.0";"776.5";"-0.6";"86";"Ветер, дующий с юга";"3";"";"";"Облаков нет.";" ";"";"";"";"-8.2";"";"";"";"";"";"";"-14.5";"";"";"";"";"";"";
"30.12.2013 21:00";"-12.5";"742.6";"777.1";"-0.1";"85";"Ветер, дующий с юго-юго-запада";"2";"";"";"40%.";" ";"";"";"";"-8.2";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"-14.5";"";"";"";"";"";"";
"30.12.2013 18:00";"-10.7";"742.7";"777.1";"0.2";"82";"Ветер, дующий с юго-юго-запада";"3";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"-13.2";"";"";"";"";"";"";
"30.12.2013 15:00";"-8.8";"742.5";"776.6";"-0.7";"76";"Ветер, дующий с юго-юго-запада";"4";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"20.0";"-12.3";"";"";"";"";"";"";
"30.12.2013 12:00";"-10.3";"743.2";"777.5";"0.3";"80";"Ветер, дующий с юго-юго-запада";"3";"";"";"100%.";" ";"";"";"-12.5";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"20.0";"-13.1";"";"";"";"";"";"";
"30.12.2013 09:00";"-12.4";"742.9";"777.5";"0.3";"85";"Ветер, дующий с юго-юго-запада";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"50%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"-14.4";"";"";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"18.0";
"30.12.2013 06:00";"-11.5";"742.6";"777.1";"0.0";"85";"Ветер, дующий с юго-юго-запада";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"-13.5";"";"";"";"";"";"";
"30.12.2013 03:00";"-10.9";"742.6";"776.9";"0.0";"86";"Ветер, дующий с юго-юго-запада";"3";"";"";"60%.";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"60%.";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"-12.8";"";"";"";"";"";"";
"30.12.2013 00:00";"-10.1";"742.6";"776.9";"0.4";"85";"Ветер, дующий с юго-юго-запада";"3";"";"";"70 – 80%.";" ";"";"";"";"-7.9";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"70 – 80%.";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"-12.1";"";"";"";"";"";"";
"29.12.2013 21:00";"-10.3";"742.2";"776.5";"0.7";"86";"Ветер, дующий с юго-юго-запада";"3";"";"";"40%.";" ";"";"";"";"-7.9";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"40%.";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"-12.2";"";"";"";"";"";"";
