# Метеостанция Нур-Султан, Казахстан, WMO_ID=35188, выборка с 01.01.2010 по 30.07.2010, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=35188&lang=ru
#
"Местное время в Нур-Султане";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.07.2010 21:00";"21.3";"732.5";"762.6";"";"25";"Ветер, дующий с северо-востока";"3";"";"";"Облаков нет.";" ";"";"";"";"25.0";"";"";"";"";"";"20.0";"0.5";"";"";"";"";"";"";
"30.07.2010 18:00";"24.2";"732.4";"762.2";"";"19";"Ветер, дующий с востока";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-0.7";"";"";"";"";"";"";
"30.07.2010 15:00";"23.0";"733.4";"763.3";"";"26";"Ветер, дующий с востоко-северо-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"2.7";"";"";"";"";"";"";
"30.07.2010 12:00";"20.7";"734.4";"764.6";"";"34";"Ветер, дующий с северо-востока";"2";"";"";"Облаков нет.";" ";"";"";"13.0";"";"";"";"";"";"";"20.0";"4.1";"";"";"";"";"";"";
"30.07.2010 09:00";"15.5";"734.8";"765.6";"";"51";"Ветер, дующий с юга";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"5.3";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"";"";"";
"30.07.2010 06:00";"13.5";"734.6";"765.5";"";"55";"Ветер, дующий с юга";"2";"";"";"20–30%.";" ";"";"";"";"";"";"20–30%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"20.0";"4.7";"";"";"";"";"";"";
"30.07.2010 03:00";"16.1";"734.0";"764.6";"";"40";"Ветер, дующий с востоко-юго-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"2.5";"";"";"";"";"";"";
"30.07.2010 00:00";"18.6";"733.9";"764.2";"";"41";"Ветер, дующий с северо-востока";"3";"";"";"60%.";" ";"";"";"";"23.5";"";"60%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"";"";"5.1";"Следы осадков";"12";"";"";"";"";
"29.07.2010 21:00";"21.1";"733.4";"763.4";"";"41";"Ветер, дующий с востока";"2";"";"";"40%.";" ";"";"";"";"23.5";"Слоисто-кучевые, образовавшиеся из кучевых.";"20–30%.";"1000-1500";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"";"20.0";"7.5";"Следы осадков";"12";"";"";"";"";
"29.07.2010 18:00";"22.4";"733.6";"763.6";"";"33";"Ветер, дующий с юго-востока";"3";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"70 – 80%.";"1000-1500";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"";"20.0";"5.4";"";"";"";"";"";"";
"29.07.2010 15:00";"21.2";"734.6";"764.8";"";"41";"Ветер, дующий с юго-юго-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"50%.";"1000-1500";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"20.0";"7.6";"";"";"";"";"";"";
"29.07.2010 12:00";"16.0";"735.4";"766.1";"";"64";"Ветер, дующий с юго-запада";"2";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"13.2";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"1000-1500";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"20.0";"9.1";"Следы осадков";"12";"";"";"";"";
