# Метеостанция Санкт-Петербург, Россия, WMO_ID=26063, выборка с 01.01.2017 по 31.12.2017, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=26063&lang=ru
#
"Местное время в Санкт-Петербурге";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 21:00";"0.9";"756.1";"756.7";"-0.3";"81";"Ветер, дующий с востоко-юго-востока";"1";"";"";"100%.";" ";"";"";"";"2.0";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-2.1";"Осадков нет";"12";"";"";"";"";
"31.12.2017 18:00";"1.1";"756.4";"757.0";"-0.3";"81";"Ветер, дующий с востоко-юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-1.8";"Осадков нет";"12";"";"";"";"";
"31.12.2017 15:00";"2.0";"756.7";"757.3";"-0.1";"63";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-4.4";"";"";"";"";"";"";
"31.12.2017 12:00";"1.6";"756.8";"757.4";"0.7";"76";"Ветер, дующий с юга";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-2.3";"";"";"";"";"";"";
"31.12.2017 09:00";"1.7";"756.1";"756.7";"0.0";"84";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"1.1";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-0.8";"Осадков нет";"12";"";"";"Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.";"1.0";
"31.12.2017 06:00";"1.4";"756.1";"756.7";"-0.2";"87";"Ветер, дующий с юго-юго-запада";"1";"";"";"100%.";" ";"";"";"1.1";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-0.6";"Осадков нет";"12";"";"";"";"";
"31.12.2017 03:00";"1.5";"756.3";"756.8";"0.2";"84";"Ветер, дующий с северо-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-0.9";"";"";"";"";"";"";
"31.12.2017 00:00";"1.6";"756.1";"756.7";"-0.2";"86";"Ветер, дующий с юго-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-0.5";"";"";"";"";"";"";
"30.12.2017 21:00";"2.1";"756.3";"756.9";"0.2";"86";"Ветер, дующий с юго-юго-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"4.3";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"0.0";"Осадков нет";"12";"";"";"";"";
"30.12.2017 18:00";"2.0";"756.1";"756.7";"0.5";"88";"Ветер, дующий с юго-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"0.2";"Осадков нет";"12";"";"";"";"";
