# Метеостанция Санкт-Петербург, Россия, WMO_ID=26063, выборка с 01.01.2018 по 30.07.2018, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=26063&lang=ru
#
"Местное время в Санкт-Петербурге";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.07.2018 21:00";"24.4";"768.1";"768.7";"0.3";"48";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";" ";"";"";"";"27.8";"";"";"";"";"";"10.0";"12.8";"Осадков нет";"12";"";"";"";"";
"30.07.2018 18:00";"27.4";"767.8";"768.3";"-0.7";"35";"Ветер, дующий с востоко-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"10.5";"Осадков нет";"12";"";"";"";"";
"30.07.2018 15:00";"27.2";"768.5";"769.0";"-0.4";"34";"Ветер, дующий с востоко-юго-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"10.2";"";"";"";"";"";"";
"30.07.2018 12:00";"24.6";"768.9";"769.4";"0.0";"51";"Ветер, дующий с востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.7";"";"";"";"";"";"";
"30.07.2018 09:00";"21.7";"768.9";"769.5";"0.2";"66";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";" ";"";"";"18.4";"";"";"";"";"";"";"10.0";"15.0";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"19.0";"";"";
"30.07.2018 06:00";"18.5";"768.7";"769.3";"0.3";"75";"Ветер, дующий с востоко-юго-востока";"2";"";"";"Облаков нет.";" ";"";"";"18.5";"";"";"";"";"";"";"10.0";"14.0";"Осадков нет";"12";"";"";"";"";
"30.07.2018 03:00";"20.2";"768.4";"769.0";"0.4";"71";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"14.7";"";"";"";"";"";"";
"30.07.2018 00:00";"22.3";"768.0";"768.5";"1.1";"69";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"16.4";"";"";"";"";"";"";
"29.07.2018 21:00";"24.2";"766.9";"767.5";"0.0";"67";"Ветер, дующий с востоко-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"27.8";"";"";"";"";"";"10.0";"17.7";"Осадков нет";"12";"";"";"";"";
"29.07.2018 18:00";"27.3";"766.9";"767.4";"-0.6";"56";"Ветер, дующий с востоко-северо-востока";"1";"";"";"20–30%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"17.8";"Осадков нет";"12";"";"";"";"";
"29.07.2018 15:00";"27.0";"767.5";"768.0";"-0.1";"55";"Ветер, дующий с востока";"2";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"17.3";"";"";"";"";"";"";
"29.07.2018 12:00";"26.2";"767.6";"768.1";"-0.2";"58";"Ветер, дующий с востока";"1";"";"";"20–30%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"17.4";"";"";"";"";"";"";
"29.07.2018 09:00";"22.1";"767.8";"768.4";"0.0";"70";"Ветер, дующий с востока";"2";"";"";"10%  или менее, но не 0";" ";"";"";"19.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"16.4";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"20.0";"";"";
