# Метеостанция Канберра (аэропорт), Австралия, WMO_ID=94926, выборка с 01.01.2016 по 31.12.2016, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=94926&lang=ru
#
"Местное время в Канберре (аэропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2016 23:00";"17.0";"705.9";"754.6";"1.3";"90";"Ветер, дующий с востоко-юго-востока";"2";"";"";"";"Никаких особых явлений погоды не наблюдалось. ";"";"";"";"31.5";"";"";"";"";"";"";"15.3";"";"";"";"";"";"";
"31.12.2016 22:00";"18.4";"705.8";"754.6";"1.8";"83";"Ветер, дующий с юго-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.5";"";"";"";"";"";"";
"31.12.2016 21:00";"20.6";"705.4";"754.2";"1.9";"72";"Ветер, дующий с востоко-северо-востока";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.4";"";"";"";"";"";"";
"31.12.2016 20:00";"24.2";"704.6";"753.3";"1.3";"40";"Ветер, дующий с северо-запада";"4";"";"";"";"Никаких особых явлений погоды не наблюдалось. ";"";"";"";"";"";"";"";"";"";"";"9.8";"Осадков нет";"6";"";"";"";"";
"31.12.2016 19:00";"27.4";"704.0";"752.6";"0.6";"32";"Ветер, дующий с западо-северо-запада";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.3";"";"";"";"";"";"";
"31.12.2016 18:00";"29.1";"703.5";"752.1";"-0.2";"29";"Ветер, дующий с запада";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.3";"";"";"";"";"";"";
"31.12.2016 17:00";"30.1";"703.3";"751.9";"-0.6";"28";"Ветер, дующий с запада";"6";"";"";"";"Никаких особых явлений погоды не наблюдалось. ";"";"";"";"";"";"";"";"";"";"";"9.6";"";"";"";"";"";"";
"31.12.2016 16:00";"30.7";"703.4";"752.0";"-0.8";"29";"Ветер, дующий с запада";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.6";"";"";"";"";"";"";
"31.12.2016 15:00";"30.7";"703.7";"752.3";"-0.5";"31";"Ветер, дующий с запада";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.6";"";"";"";"";"";"";
"31.12.2016 14:00";"30.7";"703.9";"752.5";"-0.6";"30";"Ветер, дующий с запада";"7";"";"";"";"Никаких особых явлений погоды не наблюдалось. ";"";"";"";"";"";"";"";"";"";"";"11.1";"Осадков нет";"6";"";"";"";"";
"31.12.2016 13:00";"30.8";"704.2";"752.8";"-0.4";"32";"Ветер, дующий с запада";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.2";"";"";"";"";"";"";
"31.12.2016 12:00";"30.0";"704.2";"752.9";"-0.3";"31";"Ветер, дующий с северо-запада";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.0";"";"";"";"";"";"";
"31.12.2016 11:00";"29.2";"704.5";"753.2";"-0.2";"33";"Ветер, дующий с северо-запада";"7";"";"";"";"Никаких особых явлений погоды не наблюдалось. ";"";"";"18.9";"";"";"";"";"";"";"";"11.3";"";"";"";"";"";"";
"31.12.2016 10:00";"28.4";"704.6";"753.3";"0.2";"36";"Ветер, дующий с западо-северо-запада";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.9";"";"";"";"";"";"";
"31.12.2016 09:00";"27.1";"704.5";"753.1";"0.5";"41";"Ветер, дующий с западо-северо-запада";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.7";"";"";"";"";"";"";
"31.12.2016 08:00";"25.3";"704.7";"753.4";"0.8";"54";"Ветер, дующий с запада";"5";"";"";"";"Никаких особых явлений погоды не наблюдалось. ";"";"";"";"";"";"";"";"";"";"";"15.3";"3.0";"24";"";"";"";"";
"31.12.2016 07:00";"23.1";"704.4";"753.1";"0.5";"74";"Ветер, дующий с северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.2";"";"";"";"";"";"";
"31.12.2016 06:00";"21.1";"704.0";"752.6";"0.4";"89";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"19.2";"";"";"";"";"";"";
"31.12.2016 05:00";"19.6";"703.9";"752.5";"0.1";"99";"Ветер, дующий с севера";"3";"";"";"";"Никаких особых явлений погоды не наблюдалось. ";"";"";"";"";"";"";"";"";"";"";"19.4";"";"";"";"";"";"";
