# Метеостанция Канберра (аэропорт), Австралия, WMO_ID=94926, выборка с 01.01.2014 по 31.12.2014, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=94926&lang=ru
#
"Местное время в Канберре (аэропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2014 23:00";"17.0";"711.7";"760.9";"0.6";"83";"Ветер, дующий с юго-востока";"3";"";"";"100%.";" ";"";"";"";"29.2";"";"";"300-600";"";"";"";"14.1";"";"";"";"";"";"";
"31.12.2014 22:00";"16.9";"711.4";"760.7";"1.2";"83";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.0";"";"";"";"";"";"";
"31.12.2014 20:00";"16.6";"711.1";"760.3";"2.4";"81";"Ветер, дующий с востока";"4";"";"";"100%.";" ";"";"";"";"";"";"";"300-600";"";"";"";"13.3";"Осадков нет";"12";"";"";"";"";
"31.12.2014 19:00";"18.8";"710.2";"759.4";"1.6";"69";"Ветер, дующий с востока";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.0";"";"";"";"";"";"";
"31.12.2014 17:00";"28.3";"708.7";"757.6";"-0.9";"21";"Ветер, дующий с северо-северо-запада";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.9";"";"";"";"";"";"";
"31.12.2014 16:00";"28.1";"708.6";"757.7";"-1.1";"23";"Ветер, дующий с севера";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.0";"";"";"";"";"";"";
"31.12.2014 14:00";"27.0";"709.6";"758.6";"-1.2";"27";"Ветер, дующий с северо-запада";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.4";"Осадков нет";"6";"";"";"";"";
"31.12.2014 13:00";"26.7";"709.7";"758.9";"-1.0";"25";"Ветер, дующий с северо-запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.1";"";"";"";"";"";"";
"31.12.2014 11:00";"24.1";"710.8";"759.9";"-0.3";"37";"Ветер, дующий с северо-северо-запада";"3";"";"";"";" ";"";"";"7.9";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";
"31.12.2014 10:00";"22.0";"710.7";"760.0";"-0.2";"44";"Ветер, дующий с северо-северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.2";"";"";"";"";"";"";
"31.12.2014 08:00";"17.8";"711.1";"760.3";"0.9";"62";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.4";"Осадков нет";"24";"";"";"";"";
"31.12.2014 07:00";"15.5";"710.9";"760.2";"1.3";"76";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.3";"";"";"";"";"";"";
"31.12.2014 05:00";"9.0";"710.2";"759.2";"0.9";"93";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.9";"";"";"";"";"";"";
