# Метеостанция Канберра (аэропорт), Австралия, WMO_ID=94926, выборка с 01.01.2017 по 31.12.2017, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=94926&lang=ru
#
"Местное время в Канберре (аэропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 23:00";"17.1";"706.1";"754.9";"0.1";"84";"Ветер, дующий с востока";"3";"";"";"";"Никаких особых явлений погоды не наблюдалось. ";"";"";"";"27.9";"";"";"";"";"";"";"14.4";"";"";"";"";"";"";
"31.12.2017 22:00";"17.9";"706.3";"755.1";"0.3";"76";"Ветер, дующий с востоко-северо-востока";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.6";"";"";"";"";"";"";
"31.12.2017 21:00";"17.5";"706.2";"754.9";"0.3";"66";"Ветер, дующий с востока";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.1";"";"";"";"";"";"";
"31.12.2017 20:00";"20.8";"706.0";"754.7";"0.3";"53";"Ветер, дующий с северо-запада";"4";"";"";"";"Никаких особых явлений погоды не наблюдалось. ";"";"";"";"";"";"";"";"";"";"";"10.9";"Осадков нет";"6";"";"";"";"";
"31.12.2017 19:00";"24.2";"706.0";"754.7";"0.3";"43";"Ветер, дующий с запада";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.8";"";"";"";"";"";"";
"31.12.2017 18:00";"25.7";"705.9";"754.6";"-0.4";"37";"Ветер, дующий с западо-северо-запада";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.9";"";"";"";"";"";"";
"31.12.2017 17:00";"26.6";"705.7";"754.4";"-1.1";"34";"Ветер, дующий с западо-северо-запада";"6";"";"";"";"Никаких особых явлений погоды не наблюдалось. ";"";"";"";"";"";"";"";"";"";"";"9.5";"";"";"";"";"";"";
"31.12.2017 16:00";"27.2";"705.7";"754.5";"-1.5";"33";"Ветер, дующий с северо-северо-запада";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.5";"";"";"";"";"";"";
"31.12.2017 15:00";"27.4";"706.3";"755.2";"-1.5";"37";"Ветер, дующий с северо-северо-запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.4";"";"";"";"";"";"";
"31.12.2017 14:00";"26.2";"706.8";"755.6";"-1.5";"37";"Ветер, дующий с северо-северо-запада";"5";"";"";"10%  или менее, но не 0";"Никаких особых явлений погоды не наблюдалось. ";"";"";"";"";"";"";"1500-2000";"";"";"";"10.4";"Осадков нет";"6";"";"";"";"";
"31.12.2017 13:00";"25.8";"707.2";"756.1";"-1.6";"42";"Ветер, дующий с севера";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.9";"";"";"";"";"";"";
"31.12.2017 12:00";"24.0";"707.8";"756.7";"-1.2";"44";"Ветер, дующий с северо-запада";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.0";"";"";"";"";"";"";
"31.12.2017 11:00";"23.6";"708.3";"757.2";"-0.9";"47";"Ветер, дующий с севера";"5";"";"";"100%.";"Никаких особых явлений погоды не наблюдалось. ";"";"";"14.9";"";"";"";"1000-1500";"";"";"";"11.6";"";"";"";"";"";"";
"31.12.2017 10:00";"22.5";"708.8";"757.8";"-0.5";"53";"Ветер, дующий с севера";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.4";"";"";"";"";"";"";
"31.12.2017 09:00";"20.9";"709.0";"758.0";"-0.1";"58";"Ветер, дующий с северо-северо-востока";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.3";"";"";"";"";"";"";
"31.12.2017 08:00";"19.7";"709.2";"758.2";"0.4";"65";"Ветер, дующий с северо-востока";"5";"";"";"";"Никаких особых явлений погоды не наблюдалось. ";"";"";"";"";"";"";"";"";"";"";"12.9";"Осадков нет";"24";"";"";"";"";
"31.12.2017 07:00";"18.7";"709.3";"758.3";"0.8";"72";"Ветер, дующий с северо-востока";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.6";"";"";"";"";"";"";
"31.12.2017 06:00";"17.3";"709.1";"758.1";"0.7";"81";"Ветер, дующий с северо-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.0";"";"";"";"";"";"";
